Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SS34","D_SMA",8.914000,72.120000,90.000000,top
"F1","12H1500D","PAD-1206-PAD",142.960000,96.805000,90.000000,top
"F841","12H1500D","PAD-1206-PAD",95.091010,41.814000,180.000000,top
"F842","12H1500D","PAD-1206-PAD",147.770000,96.315000,90.000000,top
"F843","12H1500D","PAD-1206-PAD",90.530010,55.345000,180.000000,top
"G1","PROTO_AREA","PROTO_AREA1X1",132.030000,62.405000,-90.000000,top
"G2","PROTO_AREA","PROTO_AREA1X1",127.010000,49.805000,0.000000,top
"G3","PROTO_AREA","PROTO_AREA1X1",148.840000,33.605000,0.000000,top
"G4","PROTO_AREA","PROTO_AREA1X1",148.990000,49.215000,0.000000,top
"G5","PROTO_AREA","PROTO_AREA1X1",127.230000,76.245000,0.000000,top
"G6","PROTO_AREA","PROTO_AREA1X1",148.890000,62.175000,0.000000,top
"G7","PROTO_AREA","PROTO_AREA1X1",127.250000,33.685000,0.000000,top
"G8","PROTO_AREA","PROTO_AREA1X1",94.630000,34.085000,0.000000,top
"G9","PROTO_AREA","PROTO_AREA1X1",94.760000,49.635000,0.000000,top
"G10","PROTO_AREA","PROTO_AREA1X1",94.130000,62.885000,0.000000,top
"G11","PROTO_AREA","PROTO_AREA1X1",93.980000,77.635000,0.000000,top
"G12","PROTO_AREA","PROTO_AREA1X1",117.890000,76.805000,0.000000,top
"G13","PROTO_AREA","PROTO_AREA1X1",117.470000,62.545000,0.000000,top
"G14","PROTO_AREA","PROTO_AREA1X1",117.750000,49.715000,0.000000,top
"G15","PROTO_AREA","PROTO_AREA1X1",117.330000,34.045000,0.000000,top
"G16","PROTO_AREA","PROTO_AREA1X1",153.640000,76.145000,-90.000000,top
"J22","USB_B_Mini","USB-MINI-B-VERTICAL",101.175000,101.225000,90.000000,top
"M1","Module-power_12and5V-0.3","power_12and5V",117.099997,108.844995,-90.000000,top
"M2","Module-knock-0.2","knock",29.009002,49.386000,90.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",50.323000,43.703000,90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",39.847000,43.621000,90.000000,top
"M5","Module-wbo-0.5","wbo",56.585000,59.025000,-90.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",41.179990,67.795010,0.000000,top
"M7","Module-can-0.1","can",74.577001,54.727003,0.000000,top
"M8","Module-motor-driver-0.1","motor-driver",73.205000,43.450000,0.000000,top
"M9","Module-ign8-0.2","ign8",95.013379,85.229995,90.000000,top
"P1","368255-2","368255-2",14.498000,77.482000,0.000000,top
"Q1","AO3400A","SOT-23",15.417000,73.478500,-90.000000,top
"Q3","ISL9V3040D3ST","TO-252-2",30.249000,33.010000,90.000000,top
"Q841","ISL9V3040D3ST","TO-252-2",129.740000,48.365000,-90.000000,top
"Q842","ISL9V3040D3ST","TO-252-2",151.415000,32.210000,-90.000000,top
"Q843","ISL9V3040D3ST","TO-252-2",151.562500,47.847500,-90.000000,top
"Q844","ISL9V3040D3ST","TO-252-2",129.795000,74.820000,-90.000000,top
"Q845","ISL9V3040D3ST","TO-252-2",151.470000,60.715000,-90.000000,top
"Q846","ISL9V3040D3ST","TO-252-2",129.830000,32.297500,-90.000000,top
"Q847","ISL9V3040D3ST","TO-252-2",129.487500,60.825000,-90.000000,top
"Q849","ISL9V3040D3ST","TO-252-2",151.120000,74.795000,-90.000000,top
"Q900","ISL9V3040D3ST","TO-252-2",97.227500,32.775000,-90.000000,top
"Q901","ISL9V3040D3ST","TO-252-2",97.365000,48.320000,-90.000000,top
"Q902","ISL9V3040D3ST","TO-252-2",96.740000,61.565000,-90.000000,top
"Q903","ISL9V3040D3ST","TO-252-2",96.570000,76.270000,-90.000000,top
"Q904","ISL9V3040D3ST","TO-252-2",120.460000,75.385000,-90.000000,top
"Q905","ISL9V3040D3ST","TO-252-2",120.040000,61.205000,-90.000000,top
"Q906","ISL9V3040D3ST","TO-252-2",120.330000,48.355000,-90.000000,top
"Q907","ISL9V3040D3ST","TO-252-2",119.930000,32.625000,-90.000000,top
"R1","22","R0603",34.559000,28.003000,90.000000,top
"R3","1k","R0603",12.932000,73.654500,90.000000,top
"R4","4.7k","R0603",15.392000,76.494572,180.000000,top
"R9","DNP","R0805",51.628000,51.678000,-90.000000,top
"R12","10k","R0805",51.569000,55.304000,-90.000000,top
"R305","10k","R0603",87.750000,98.925000,0.000000,top
"R307","10k","R0603",84.900000,98.985000,0.000000,top
"R309","10k","R0603",89.400000,97.345000,0.000000,top
"R311","10k","R0603",86.540000,97.355000,0.000000,top
"R313","10k","R0603",91.190000,95.775000,0.000000,top
"R315","10k","R0603",88.370000,95.785000,0.000000,top
"R325","10k","R0603",89.180000,94.215000,0.000000,top
"R327","10k","R0603",92.060000,94.295000,0.000000,top
"R841","33k","R0603",67.095000,64.945000,0.000000,top
"R842","6.8k","R0603",67.136000,66.790000,180.000000,top
"R843","4.7k","R0603",33.971000,42.801000,0.000000,top
"R846","Jumper-Pad-Pad","PAD-0805-PAD",109.950000,101.355000,180.000000,top
"R847","0","R0603",44.003000,61.276000,90.000000,top
"R848","0","R0603",48.692072,61.477000,90.000000,top
"U1","BTS6143D","TO-252-4",14.271000,64.708000,-90.000000,top
